ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concadtBC,len(no_of_char),sumif,averageif,countifs
175,pop,51,578,5000,1,40.8401413,14.25226021,8900,pop 51,3,685.0924015,2083.870343,1
176,lounge,51,456,19133,1,45.39360046,10.48223972,10900,lounge 51,6,563.8758402,4371.696549,1
177,lounge,51,456,11998,1,39.29122162,16.25251389,9590,lounge 51,6,563.5437355,3165.220534,1
178,pop,51,790,39461,1,40.92649078,14.4764204,10800,pop 51,3,897.4029112,7308.628987,1
179,lounge,51,1066,1232,1,45.46796036,9.181779861,9900,lounge 51,6,2404.64974,1758.521391,1
180,lounge,51,790,39916,1,41.80298996,12.59893036,10280,lounge 51,6,896.4019203,7299.628846,1
181,lounge,51,1308,23500,1,43.81702042,10.68284988,9800,lounge 51,6,1414.49987,4959.928553,1
182,lounge,51,397,14991,1,45.35776901,9.612210274,10950,lounge 51,6,503.9699793,3778.56714,1
183,lounge,51,2496,104000,1,40.46537018,17.25053978,6900,lounge 51,6,2605.71591,16215.81656,1
184,lounge,51,3378,132000,2,45.69522858,9.669509888,4800,lounge 51,6,8286.364738,20041.48068,0
