ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concadtBC,len(no_of_char),sumif,averageif,countifs
1519,lounge,51,397,16053,1,38.12207031,13.36112022,10500,lounge 51,6,500.4831905,3865.497599,1
1520,lounge,51,670,30000,1,45.76464844,8.99450016,10800,lounge 51,6,776.7591486,5940.251307,1
1521,lounge,51,1035,15000,1,41.90322113,12.49565029,10990,lounge 51,6,1141.398871,3876.62841,1
1522,lounge,51,3774,85000,1,44.29430008,9.674440384,4000,lounge 51,6,7879.96874,13269.28125,1
1523,lounge,51,366,14618,1,45.70724869,11.4776001,10500,lounge 51,6,475.1848488,3656.88355,1
1524,pop,51,2251,79800,1,45.51205063,10.42700958,6450,pop 51,3,2358.93906,12658.70558,1
1525,pop,51,2192,53300,1,40.6095314,14.98093033,7900,pop 51,3,2299.590462,9071.65578,1
1526,lounge,51,790,41870,1,45.70724869,11.4776001,9500,lounge 51,6,899.1848488,7467.740693,1
1527,lounge,51,1705,23600,1,38.12207031,13.36112022,9300,lounge 51,6,1808.483191,4959.069027,1
1528,pop,51,517,3000,1,40.74824142,14.52834988,9999,pop 51,3,3624.276591,1946.468084,1
1529,lounge,51,2861,126000,1,43.84197998,10.51531029,5500,lounge 51,6,2967.35729,19210.33676,1
1530,lounge,51,731,22551,1,38.12207031,13.36112022,9900,lounge 51,6,834.4831905,4755.783313,1
1531,lounge,51,670,29000,1,45.76464844,8.99450016,10800,lounge 51,6,776.7591486,5797.394164,1
1532,sport,73,4505,127000,1,45.52851105,9.593230247,4750,sport 73,5,9384.121741,19484.01739,1
1533,pop,51,1917,52008,1,45.54800034,11.54946995,9900,pop 51,3,2026.09747,9133.72821,1
1534,sport,51,3712,115280,1,45.06967926,7.704919815,5200,sport 51,5,3816.774599,17757.25351,1
1535,lounge,74,3835,112000,1,45.84569168,8.666870117,4600,lounge 74,6,8564.512562,17224.21608,1
1536,pop,51,2223,60457,1,45.48154068,9.413479805,7500,pop 51,3,2329.89502,10041.27072,1
1537,lounge,51,2557,80750,1,45.0007019,7.68227005,5990,lounge 51,6,2661.682972,12772.38328,1
1538,pop,51,1766,54276,1,40.32341003,17.56826973,7900,pop 51,3,1875.89168,9150.555954,1
